Food and Beverage Industry, Restaurant Customer Flow, Customers, random
Source,Target,Value
Parkershire Burger,Martinberg Hot Dog,142
Martinberg Hot Dog,Parkershire Burger,283
Christopher's Tacos,Martinberg Hot Dog,50
Martinberg Hot Dog,Christopher's Tacos,194
Parkershire Burger,Kathy's Pizzas,157
Kathy's Pizzas,Parkershire Burger,280
Crystalbury Coffee,Kathy's Pizzas,211
Kathy's Pizzas,Crystalbury Coffee,87
Parkershire Burger,Crystalbury Coffee,90
Crystalbury Coffee,Parkershire Burger,35
Parkershire Burger,Christopher's Tacos,66
Christopher's Tacos,Parkershire Burger,105
