Human Resources and Employee Management, HR Department Flow, Employees, linear
Source,Target,Value
Human Resources Department,Legal Department,364
Legal Department,Human Resources Department,346
Legal Department,Operations Department,310
Operations Department,Legal Department,286
Legal Department,IT Department,260
IT Department,Legal Department,227
Human Resources Department,Operations Department,197
Operations Department,Human Resources Department,169
Human Resources Department,IT Department,146
IT Department,Human Resources Department,106
