Retail and E-commerce, E-commerce Platform User Migration, Million Users, long_tail
Source,Target,Value
AtkinsonExpress,WeberGroupMart,465
WeberGroupMart,AtkinsonExpress,245
DanielsGroupShop,WeberGroupMart,155
WeberGroupMart,DanielsGroupShop,119
DanielsGroupShop,LambandTodd.com,96
LambandTodd.com,DanielsGroupShop,84
Carter-RyanOnline,WeberGroupMart,72
WeberGroupMart,Carter-RyanOnline,62
AtkinsonExpress,LambandTodd.com,55
LambandTodd.com,AtkinsonExpress,48
AtkinsonExpress,Carter-RyanOnline,42
Carter-RyanOnline,AtkinsonExpress,40
