Healthcare and Health, Medical Referral Flow, Patients, random
Source,Target,Value
Emergency Medical Center,Specialist Hospital,156
Specialist Hospital,Emergency Medical Center,136
Emergency Medical Center,Rural Township Clinic,47
Rural Township Clinic,Emergency Medical Center,145
TCM Hospital,Rural Township Clinic,55
Rural Township Clinic,TCM Hospital,197
TCM Hospital,Specialist Hospital,113
Specialist Hospital,TCM Hospital,208
TCM Hospital,Emergency Medical Center,262
Emergency Medical Center,TCM Hospital,74
