Cultural Trends and Influences, Fashion Trends Influence, Trend Influence Score, linear
Source,Target,Value
Luxury Fashion,Streetwear,591
Streetwear,Luxury Fashion,518
Vintage,Luxury Fashion,515
Luxury Fashion,Vintage,466
Sustainable Fashion,Luxury Fashion,438
Luxury Fashion,Sustainable Fashion,372
Luxury Fashion,Fast Fashion,358
Fast Fashion,Luxury Fashion,316
Sustainable Fashion,Fast Fashion,268
Fast Fashion,Sustainable Fashion,238
Vintage,Sustainable Fashion,202
Sustainable Fashion,Vintage,172
