Healthcare and Health, Medical Referral Flow, Patients, random
Source,Target,Value
Commdata_unity Health Center,Emergency Medical Center,110
Emergency Medical Center,Commdata_unity Health Center,12
Geriatric Care Hospital,Emergency Medical Center,234
Emergency Medical Center,Geriatric Care Hospital,42
Mental Health Hospital,Emergency Medical Center,36
Emergency Medical Center,Mental Health Hospital,237
Commdata_unity Health Center,Mental Health Hospital,114
Mental Health Hospital,Commdata_unity Health Center,142
Geriatric Care Hospital,Mental Health Hospital,129
Mental Health Hospital,Geriatric Care Hospital,118
