Healthcare and Health, Medical Referral Flow, Patients, long_tail
Source,Target,Value
Rural Township Clinic,Specialist Hospital,640
Specialist Hospital,Rural Township Clinic,327
Specialist Hospital,TCM Hospital,223
TCM Hospital,Specialist Hospital,167
Specialist Hospital,Mental Health Hospital,127
Mental Health Hospital,Specialist Hospital,111
Rural Township Clinic,TCM Hospital,94
TCM Hospital,Rural Township Clinic,85
Rural Township Clinic,Mental Health Hospital,74
Mental Health Hospital,Rural Township Clinic,65
