Cultural Trends and Influences,Cultural Engagement Distribution by Category (2024),%
parent,child,value
Root,Creative Expression,24.86
Creative Expression,Visual Arts,5.29
Creative Expression,Performing Arts,19.57
Performing Arts,Dance,5.93
Performing Arts,Theatre,13.64
Root,Digital Culture,31.69
Digital Culture,Online Exhibitions,9.23
Digital Culture,Streaming Culture,22.46
Streaming Culture,Cultural Podcasts,12.95
Streaming Culture,Live Performances,9.51
Root,Cultural Participation,43.45
Cultural Participation,Art Festivals,43.45
Art Festivals,International Events,43.45
International Events,Global Film Weeks,8.96
International Events,Biennale Showcases,19.79
International Events,Cultural Diplomacy Days,14.7
