Real Estate and Housing Market,Housing Market Distribution by Category (2023),%
parent,child,value
Root,Residential Property,30.18
Residential Property,Single Family Homes,15.56
Single Family Homes,Detached,6.95
Single Family Homes,Semi-Detached,8.61
Residential Property,Multi-Family Homes,14.62
Multi-Family Homes,Duplex,6.35
Multi-Family Homes,Apartments,8.27
Root,Commercial Real Estate,32.38
Commercial Real Estate,Retail Spaces,25.14
Retail Spaces,Street-Level Shops,25.14
Street-Level Shops,Luxury Boutiques,5.82
Street-Level Shops,High Foot Traffic,7.12
Street-Level Shops,Historic Districts,12.2
Commercial Real Estate,Office Buildings,7.24
Root,Rental Market,37.44
Rental Market,Long-Term Rentals,37.44
