Retail and E-commerce,E-commerce Distribution by Category (2024),%
parent,child,value
Root,Payment & Logistics,35.45
Payment & Logistics,Digital Payment Systems,16.28
Digital Payment Systems,E-Wallets,7.67
Digital Payment Systems,Buy Now Pay Later,8.61
Payment & Logistics,Fulfillment & Delivery,19.17
Fulfillment & Delivery,Last-mile Delivery,9.43
Fulfillment & Delivery,Warehousing,9.74
Root,Marketplace Platforms,37.65
Marketplace Platforms,C2C Marketplaces,16.22
C2C Marketplaces,Handmade Goods,16.22
Handmade Goods,Craft Supplies,5.77
Handmade Goods,Upcycled Products,5.08
Handmade Goods,Custom Gifts,5.37
Marketplace Platforms,B2C Platforms,21.43
Root,Customer Engagement,26.9
Customer Engagement,Marketing Strategies,26.9
