Social Media and Digital Media and Streaming,Social Media Distribution by Category (2022),%
parent,child,value
Root,Platforms,34.77
Platforms,Messaging Apps,24.3
Messaging Apps,WhatsApp,11.57
WhatsApp,Status,6.34
WhatsApp,Channels,5.23
Messaging Apps,Telegram,12.73
Telegram,Bots,6.69
Telegram,Public Channels,6.04
Platforms,Social Networks,10.47
Social Networks,Instagram,5.44
Instagram,Stories,5.44
Social Networks,Facebook,5.03
Root,Content Creation,26.3
Content Creation,Podcasting,12.88
Podcasting,Apple Podcasts,12.88
Content Creation,Video Platforms,13.42
Root,User Engagement,38.93
User Engagement,Reactions and Comments,38.93
