Human Resources and Employee Management ,Employee Distribution by Category (2021),%
parent,child,value
Root,Employee Lifecycle,23.35
Employee Lifecycle,Onboarding,5.58
Employee Lifecycle,Recruitment,17.77
Recruitment,Job Posting,9.19
Recruitment,Candidate Evaluation,8.58
Root,Workplace Wellbeing,24.65
Workplace Wellbeing,Health & Safety,12.74
Health & Safety,Emergency Response,7.14
Health & Safety,Ergonomics,5.6
Workplace Wellbeing,Work-Life Balance,11.91
Work-Life Balance,Employee Assistance,11.91
Root,Employee Development,52.0
Employee Development,Performance Management,52.0
