Education and Academics,Education Distribution by Category (2024),%
parent,child,value
Root,Formal Education,24.94
Formal Education,Primary Education,8.86
Formal Education,Secondary Education,16.08
Secondary Education,Vocational Schools,10.4
Secondary Education,High Schools,5.68
Root,Higher Education,25.94
Higher Education,Postgraduate,12.57
Postgraduate,Doctoral Programs,6.85
Postgraduate,Masters Programs,5.72
Higher Education,Undergraduate,13.37
Undergraduate,Research Universities,13.37
Root,Informal Learning,49.12
Informal Learning,Online Education,49.12
