Cultural Trends and Influences,Cultural Engagement Distribution by Category (2024),%
parent,child,value
Root,Cultural Participation,24.57
Cultural Participation,Heritage Engagement,6.25
Cultural Participation,Art Festivals,18.32
Art Festivals,International Events,6.34
Art Festivals,Local Festivals,11.98
Root,Digital Culture,31.95
Digital Culture,Online Exhibitions,13.91
Online Exhibitions,Virtual Museums,5.65
Online Exhibitions,NFT Artworks,8.26
Digital Culture,Streaming Culture,18.04
Streaming Culture,Live Performances,18.04
Live Performances,Concert Streams,5.5
Live Performances,Dance Broadcasts,6.41
Live Performances,Online Plays,6.14
Root,Creative Expression,43.48
Creative Expression,Performing Arts,43.48
