Human Resources and Employee Management ,Employee Distribution by Category (2021),%
parent,child,value
Root,Workplace Wellbeing,46.09
Workplace Wellbeing,Work-Life Balance,16.32
Work-Life Balance,Flexible Scheduling,7.3
Work-Life Balance,Employee Assistance,9.02
Workplace Wellbeing,Health & Safety,29.77
Health & Safety,Emergency Response,6.66
Health & Safety,Ergonomics,23.11
Ergonomics,Workstation Setup,5.54
Ergonomics,Eye Care,8.68
Ergonomics,Posture Training,8.89
Root,Employee Development,25.14
Employee Development,Training Programs,6.19
Training Programs,Online Learning,6.19
Employee Development,Performance Management,18.95
Root,Employee Lifecycle,28.77
Employee Lifecycle,Recruitment,28.77
