Social Media and Digital Media and Streaming,Social Media Distribution by Category (2022),%
parent,child,value
Root,Platforms,23.93
Platforms,Social Networks,12.42
Social Networks,Instagram,7.3
Social Networks,Facebook,5.12
Platforms,Messaging Apps,11.51
Messaging Apps,WhatsApp,5.06
Messaging Apps,Telegram,6.45
Root,Content Creation,55.38
Content Creation,Video Platforms,7.13
Video Platforms,TikTok,7.13
Content Creation,Podcasting,48.25
Root,User Engagement,20.69
User Engagement,Reactions and Comments,20.69
