Energy and Utilities,Energy Distribution by Category (2020),%
parent,child,value
Root,Energy Infrastructure,53.96
Energy Infrastructure,Transmission,40.38
Transmission,Smart Grids,32.91
Smart Grids,Control Centers,23.95
Smart Grids,Sensors,8.96
Transmission,High Voltage Lines,7.47
Energy Infrastructure,Generation,13.58
Generation,Hydropower,7.17
Generation,Thermal Plants,6.41
Root,Energy Sources,25.9
Energy Sources,Renewables,9.07
Renewables,Wind,9.07
Energy Sources,Fossil Fuels,16.83
Root,Energy Consumption,20.13
Energy Consumption,Residential,20.13
