Real Estate and Housing Market,Housing Market Distribution by Category (2023),%
parent,child,value
Root,Commercial Real Estate,24.39
Commercial Real Estate,Office Buildings,5.17
Commercial Real Estate,Retail Spaces,19.22
Retail Spaces,Street-Level Shops,10.07
Retail Spaces,Shopping Centers,9.15
Root,Residential Property,41.83
Residential Property,Multi-Family Homes,34.79
Multi-Family Homes,Duplex,14.5
Multi-Family Homes,Apartments,20.29
Apartments,Mid-Rise,6.36
Apartments,High-Rise,5.87
Apartments,Low-Rise,8.06
Residential Property,Single Family Homes,7.04
Single Family Homes,Detached,7.04
Root,Rental Market,33.78
Rental Market,Short-Term Rentals,33.78
