Sports and Entertainment,Sports Distribution by Category (2024),%
parent,child,value
Root,Sports Media and Tech,29.8
Sports Media and Tech,Sports Technology,20.59
Sports Technology,Wearables,9.23
Sports Technology,Analytics Tools,11.36
Analytics Tools,Tactical Modeling,6.06
Analytics Tools,Performance Analysis,5.3
Sports Media and Tech,Live Broadcasting,9.21
Root,Competitive Sports,30.13
Competitive Sports,Individual Sports,24.95
Individual Sports,Combat Sports,8.65
Individual Sports,Tennis,6.41
Individual Sports,Athletics,9.88
Competitive Sports,Team Sports,5.18
Root,Fitness and Wellness,40.06
Fitness and Wellness,Personal Training,40.06
