Cultural Trends and Influences,Cultural Engagement Distribution by Category (2024),%
parent,child,value
Root,Creative Expression,45.6
Creative Expression,Performing Arts,25.52
Performing Arts,Theatre,15.27
Theatre,Drama,5.03
Theatre,Experimental Theatre,5.01
Theatre,Opera,5.22
Performing Arts,Dance,10.25
Dance,Contemporary,5.03
Dance,Folk Dance,5.22
Creative Expression,Visual Arts,20.08
Visual Arts,Painting,12.11
Visual Arts,Sculpture,7.97
Root,Cultural Participation,26.82
Cultural Participation,Art Festivals,20.65
Art Festivals,International Events,20.65
Cultural Participation,Heritage Engagement,6.17
Root,Digital Culture,27.58
Digital Culture,Online Exhibitions,27.58
