Food and Beverage Industry,Food Industry Distribution by Category (2023),%
parent,child,value
Root,Food Production,51.52
Food Production,Agriculture,26.78
Agriculture,Livestock,9.12
Agriculture,Crop Farming,17.66
Crop Farming,Grains,5.17
Crop Farming,Fruits,6.63
Crop Farming,Vegetables,5.86
Food Production,Aquaculture,24.74
Aquaculture,Freshwater Farming,11.13
Freshwater Farming,Catfish,5.78
Freshwater Farming,Tilapia,5.35
Aquaculture,Marine Farming,13.61
Root,Food Distribution,28.18
Food Distribution,Retail,19.96
Retail,Supermarkets,19.96
Food Distribution,Wholesale,8.22
Root,Food Processing,20.29
Food Processing,Dairy Processing,20.29
