Real Estate and Housing Market,Housing Market Distribution by Category (2023),%
parent,child,value
Root,Commercial Real Estate,20.69
Commercial Real Estate,Retail Spaces,15.19
Retail Spaces,Street-Level Shops,6.03
Retail Spaces,Shopping Centers,9.16
Commercial Real Estate,Office Buildings,5.5
Root,Residential Property,53.81
Residential Property,Multi-Family Homes,11.4
Multi-Family Homes,Duplex,6.36
Multi-Family Homes,Apartments,5.04
Residential Property,Single Family Homes,42.41
Single Family Homes,Detached,42.41
Detached,Luxury Detached,6.82
Detached,Urban Detached,18.08
Detached,Suburban Detached,17.51
Root,Rental Market,25.51
Rental Market,Short-Term Rentals,25.51
