Real Estate and Housing Market,Housing Market Distribution by Category (2023),%
parent,child,value
Root,Commercial Real Estate,32.23
Commercial Real Estate,Retail Spaces,16.72
Retail Spaces,Shopping Centers,11.23
Retail Spaces,Street-Level Shops,5.49
Commercial Real Estate,Office Buildings,15.51
Office Buildings,Downtown Offices,5.63
Office Buildings,Suburban Offices,9.88
Root,Residential Property,27.83
Residential Property,Multi-Family Homes,13.05
Multi-Family Homes,Duplex,13.05
Residential Property,Single Family Homes,14.78
Root,Rental Market,39.95
Rental Market,Long-Term Rentals,39.95
