Sports and Entertainment,Sports Distribution by Category (2024),%
parent,child,value
Root,Competitive Sports,48.6
Competitive Sports,Team Sports,22.16
Team Sports,Volleyball,6.23
Team Sports,Basketball,5.63
Team Sports,Football,10.31
Competitive Sports,Individual Sports,26.44
Individual Sports,Combat Sports,15.31
Combat Sports,Boxing,5.04
Combat Sports,MMA,5.01
Combat Sports,Wrestling,5.26
Individual Sports,Athletics,11.13
Athletics,Track Events,6.03
Athletics,Marathon,5.1
Root,Sports Media and Tech,29.39
Sports Media and Tech,Live Broadcasting,8.42
Sports Media and Tech,Sports Technology,20.97
Root,Fitness and Wellness,22.01
Fitness and Wellness,Outdoor Activities,22.01
