Cultural Trends and Influences,Cultural Engagement Distribution by Category (2024),%
parent,child,value
Root,Creative Expression,37.93
Creative Expression,Visual Arts,31.93
Visual Arts,Painting,7.87
Visual Arts,Sculpture,24.06
Sculpture,Stone Sculpture,12.11
Sculpture,Public Installations,5.81
Sculpture,Metal Works,6.14
Creative Expression,Performing Arts,6.0
Root,Digital Culture,34.3
Digital Culture,Online Exhibitions,11.73
Online Exhibitions,NFT Artworks,5.01
Online Exhibitions,Virtual Museums,6.72
Digital Culture,Streaming Culture,22.57
Streaming Culture,Live Performances,22.57
Live Performances,Online Plays,10.36
Live Performances,Dance Broadcasts,12.21
Root,Cultural Participation,27.77
Cultural Participation,Art Festivals,27.77
