Cultural Trends and Influences,Cultural Engagement Distribution by Category (2024),%
parent,child,value
Root,Digital Culture,28.73
Digital Culture,Online Exhibitions,7.73
Digital Culture,Streaming Culture,21.0
Streaming Culture,Cultural Podcasts,11.55
Streaming Culture,Live Performances,9.45
Root,Creative Expression,47.56
Creative Expression,Performing Arts,30.9
Performing Arts,Theatre,19.23
Theatre,Opera,7.86
Theatre,Experimental Theatre,6.3
Theatre,Drama,5.08
Performing Arts,Dance,11.67
Dance,Ballet,6.28
Dance,Contemporary,5.39
Creative Expression,Visual Arts,16.66
Visual Arts,Sculpture,16.66
Root,Cultural Participation,23.71
Cultural Participation,Art Festivals,23.71
