Cultural Trends and Influences,Cultural Engagement Distribution by Category (2024),%
parent,child,value
Root,Cultural Participation,33.81
Cultural Participation,Heritage Engagement,28.8
Heritage Engagement,Site Tours,6.65
Heritage Engagement,Museum Visits,22.15
Museum Visits,Art Museums,5.11
Museum Visits,History Museums,10.97
Museum Visits,Science Centers,6.07
Cultural Participation,Art Festivals,5.01
Root,Digital Culture,36.58
Digital Culture,Streaming Culture,26.88
Streaming Culture,Cultural Podcasts,11.87
Cultural Podcasts,Creative Interviews,6.8
Cultural Podcasts,Art Talks,5.07
Streaming Culture,Live Performances,15.01
Digital Culture,Online Exhibitions,9.7
Online Exhibitions,Virtual Museums,9.7
Root,Creative Expression,29.61
Creative Expression,Performing Arts,29.61
