Human Resources and Employee Management ,Employee Distribution by Category (2021),%
parent,child,value
Root,Employee Lifecycle,47.26
Employee Lifecycle,Onboarding,32.09
Onboarding,Orientation,19.31
Orientation,Policy Training,6.48
Orientation,Facility Tours,5.45
Orientation,Welcome Sessions,7.37
Onboarding,Mentorship,12.78
Mentorship,Buddy System,6.12
Mentorship,Learning Modules,6.66
Employee Lifecycle,Recruitment,15.17
Recruitment,Candidate Evaluation,6.03
Recruitment,Job Posting,9.14
Root,Employee Development,32.65
Employee Development,Training Programs,8.17
Training Programs,Online Learning,8.17
Employee Development,Performance Management,24.48
Root,Workplace Wellbeing,20.1
Workplace Wellbeing,Work-Life Balance,20.1
