Transportation and Logistics,Transportation Distribution by Category (2021),%
parent,child,value
Root,Air Transport,28.98
Air Transport,Air Cargo,10.17
Air Cargo,Logistics Platforms,5.01
Air Cargo,Cargo Airlines,5.16
Air Transport,Commercial Airlines,18.81
Commercial Airlines,Airport Infrastructure,9.82
Commercial Airlines,Passenger Flights,8.99
Root,Urban Mobility,38.12
Urban Mobility,Micromobility,33.09
Micromobility,E-Scooters,33.09
E-Scooters,Rental Platforms,10.48
E-Scooters,Safety Standards,5.27
E-Scooters,Parking Zones,17.34
Urban Mobility,Public Transit,5.03
Root,Freight and Logistics,32.91
Freight and Logistics,Rail Freight,32.91
