Tourism and Hospitality,Tourism Distribution by Category (2022),%
parent,child,value
Root,Hospitality Services,21.71
Hospitality Services,Dining Experiences,16.52
Dining Experiences,Local Cuisine,9.45
Dining Experiences,Fine Dining,7.07
Hospitality Services,Lodging Options,5.19
Root,Travel Services,24.48
Travel Services,Guided Tours,13.91
Guided Tours,Cultural Tours,7.9
Guided Tours,Adventure Tours,6.01
Travel Services,Transportation,10.57
Transportation,Air Travel,10.57
Root,Destination Types,53.81
Destination Types,Urban Tourism,53.81
