Science and Engineering,Science Distribution by Category (2021),%
parent,child,value
Root,Physical Sciences,30.73
Physical Sciences,Physics,24.08
Physics,Quantum Physics,5.72
Physics,Mechanics,18.36
Mechanics,Dynamics,5.43
Mechanics,Kinematics,5.54
Mechanics,Oscillations,7.39
Physical Sciences,Chemistry,6.65
Root,Life Sciences,47.6
Life Sciences,Neuroscience,35.98
Neuroscience,Neural Networks,18.88
Neural Networks,Neuroimaging,13.01
Neural Networks,Neuroplasticity,5.87
Neuroscience,Brain Function,17.1
Life Sciences,Biology,11.62
Biology,Genetics,11.62
Root,Applied Sciences,21.67
Applied Sciences,Engineering,21.67
