Science and Engineering,Science Distribution by Category (2021),%
parent,child,value
Root,Physical Sciences,31.84
Physical Sciences,Chemistry,10.32
Chemistry,Inorganic Chemistry,5.29
Chemistry,Organic Chemistry,5.03
Physical Sciences,Physics,21.52
Physics,Mechanics,15.84
Mechanics,Dynamics,5.35
Mechanics,Kinematics,5.04
Mechanics,Oscillations,5.45
Physics,Quantum Physics,5.68
Root,Life Sciences,46.03
Life Sciences,Biology,11.6
Biology,Genetics,11.6
Genetics,Inheritance Patterns,5.64
Genetics,DNA Structure,5.96
Life Sciences,Neuroscience,34.43
Root,Applied Sciences,22.13
Applied Sciences,Computer Science,22.13
