Tourism and Hospitality,Tourism Distribution by Category (2022),%
parent,child,value
Root,Destination Types,43.37
Destination Types,Nature Tourism,11.66
Nature Tourism,Coastal Areas,6.62
Nature Tourism,Mountain Destinations,5.04
Destination Types,Urban Tourism,31.71
Urban Tourism,City Landmarks,12.99
Urban Tourism,Shopping Districts,18.72
Shopping Districts,Souvenir Streets,7.11
Shopping Districts,Night Markets,5.96
Shopping Districts,Luxury Malls,5.66
Root,Travel Services,21.1
Travel Services,Guided Tours,5.91
Guided Tours,Cultural Tours,5.91
Travel Services,Transportation,15.19
Root,Hospitality Services,35.53
Hospitality Services,Dining Experiences,35.53
