Retail and E-commerce,E-commerce Distribution by Category (2024),%
parent,child,value
Root,Payment & Logistics,22.16
Payment & Logistics,Fulfillment & Delivery,8.4
Payment & Logistics,Digital Payment Systems,13.76
Digital Payment Systems,E-Wallets,7.22
Digital Payment Systems,Buy Now Pay Later,6.54
Root,Customer Engagement,44.43
Customer Engagement,Customer Service,13.8
Customer Service,Live Support,6.73
Customer Service,Chatbots,7.07
Customer Engagement,Marketing Strategies,30.63
Marketing Strategies,Email Campaigns,30.63
Email Campaigns,Abandoned Cart,7.18
Email Campaigns,Promotions,17.87
Email Campaigns,Loyalty Rewards,5.58
Root,Marketplace Platforms,33.41
Marketplace Platforms,B2C Platforms,33.41
