Education and Academics,Education Distribution by Category (2024),%
parent,child,value
Root,Higher Education,20.68
Higher Education,Undergraduate,13.95
Undergraduate,Research Universities,5.2
Undergraduate,Liberal Arts Colleges,8.75
Higher Education,Postgraduate,6.73
Root,Formal Education,36.93
Formal Education,Primary Education,13.85
Primary Education,Public Primary,7.87
Primary Education,Private Primary,5.98
Formal Education,Secondary Education,23.08
Secondary Education,High Schools,23.08
High Schools,Arts Focus,10.6
High Schools,STEM Tracks,6.57
High Schools,Humanities Tracks,5.91
Root,Informal Learning,42.39
Informal Learning,Community Learning,42.39
