Human Resources and Employee Management ,Employee Distribution by Category (2021),%
parent,child,value
Root,Workplace Wellbeing,49.72
Workplace Wellbeing,Work-Life Balance,40.24
Work-Life Balance,Flexible Scheduling,33.04
Flexible Scheduling,Compressed Weeks,13.37
Flexible Scheduling,Hybrid Options,9.03
Flexible Scheduling,Remote Work,10.64
Work-Life Balance,Employee Assistance,7.2
Workplace Wellbeing,Health & Safety,9.48
Root,Employee Lifecycle,26.72
Employee Lifecycle,Recruitment,5.07
Employee Lifecycle,Onboarding,21.65
Onboarding,Orientation,9.43
Onboarding,Mentorship,12.22
Mentorship,Shadowing Programs,7.22
Mentorship,Learning Modules,5.0
Root,Employee Development,23.56
Employee Development,Training Programs,23.56
Training Programs,Online Learning,23.56
