Business and Finance,Business Distribution by Category (2021),%
parent,child,value
Root,Digital Transformation,24.83
Digital Transformation,Data Strategy,9.43
Digital Transformation,Technology Adoption,15.4
Technology Adoption,AI Integration,10.22
Technology Adoption,Cloud Computing,5.18
Root,Financial Management,24.14
Financial Management,Investment Strategy,13.76
Investment Strategy,Risk Management,6.66
Investment Strategy,Asset Allocation,7.1
Financial Management,Budgeting & Planning,10.38
Budgeting & Planning,Operational Forecasting,10.38
Root,Corporate Strategy,51.03
Corporate Strategy,Innovation Strategy,51.03
