Retail and E-commerce,E-commerce Distribution by Category (2024),%
parent,child,value
Root,Payment & Logistics,33.05
Payment & Logistics,Fulfillment & Delivery,27.86
Fulfillment & Delivery,Last-mile Delivery,15.46
Last-mile Delivery,Drone Delivery,5.31
Last-mile Delivery,Bike Couriers,5.02
Last-mile Delivery,Smart Lockers,5.14
Fulfillment & Delivery,Warehousing,12.4
Warehousing,Same-day Storage,5.15
Warehousing,Cold Chain,7.25
Payment & Logistics,Digital Payment Systems,5.19
Root,Customer Engagement,28.79
Customer Engagement,Customer Service,19.95
Customer Service,Live Support,8.25
Customer Service,Chatbots,11.7
Customer Engagement,Marketing Strategies,8.84
Marketing Strategies,Email Campaigns,8.84
Root,Marketplace Platforms,38.16
Marketplace Platforms,C2C Marketplaces,38.16
