Cultural Trends and Influences,Cultural Engagement Distribution by Category (2024),%
parent,child,value
Root,Cultural Participation,30.37
Cultural Participation,Art Festivals,20.63
Art Festivals,International Events,11.22
Art Festivals,Local Festivals,9.41
Cultural Participation,Heritage Engagement,9.74
Root,Digital Culture,24.11
Digital Culture,Online Exhibitions,7.45
Digital Culture,Streaming Culture,16.66
Streaming Culture,Live Performances,10.49
Streaming Culture,Cultural Podcasts,6.17
Root,Creative Expression,45.52
Creative Expression,Performing Arts,45.52
Performing Arts,Theatre,45.52
Theatre,Experimental Theatre,27.61
Theatre,Drama,12.21
Theatre,Opera,5.69
