Real Estate and Housing Market,Housing Market Distribution by Category (2023),%
parent,child,value
Root,Rental Market,22.38
Rental Market,Long-Term Rentals,12.87
Long-Term Rentals,Apartments,5.59
Long-Term Rentals,Houses for Rent,7.28
Rental Market,Short-Term Rentals,9.51
Root,Commercial Real Estate,22.36
Commercial Real Estate,Retail Spaces,7.57
Commercial Real Estate,Office Buildings,14.79
Office Buildings,Downtown Offices,8.51
Office Buildings,Suburban Offices,6.28
Root,Residential Property,55.26
Residential Property,Multi-Family Homes,55.26
Multi-Family Homes,Duplex,55.26
Duplex,Fully Rented,8.31
Duplex,Basement Units,21.86
Duplex,Owner-Occupied,25.09
