Real Estate and Housing Market,Housing Market Distribution by Category (2023),%
parent,child,value
Root,Residential Property,21.49
Residential Property,Single Family Homes,11.22
Single Family Homes,Semi-Detached,6.08
Single Family Homes,Detached,5.14
Residential Property,Multi-Family Homes,10.27
Multi-Family Homes,Duplex,5.26
Multi-Family Homes,Apartments,5.01
Root,Commercial Real Estate,21.28
Commercial Real Estate,Office Buildings,14.54
Office Buildings,Downtown Offices,14.54
Commercial Real Estate,Retail Spaces,6.74
Root,Rental Market,57.23
Rental Market,Long-Term Rentals,57.23
