Food and Beverage Industry,Food Industry Distribution by Category (2023),%
parent,child,value
Root,Food Distribution,27.61
Food Distribution,Retail,20.68
Retail,Convenience Stores,5.73
Retail,Supermarkets,14.95
Supermarkets,Meat Counters,5.67
Supermarkets,Fresh Produce,9.28
Food Distribution,Wholesale,6.93
Root,Food Processing,51.11
Food Processing,Dairy Processing,26.47
Dairy Processing,Milk Products,8.61
Dairy Processing,Ice Cream,17.86
Ice Cream,Gelato,12.86
Ice Cream,Frozen Yogurt,5.0
Food Processing,Meat Processing,24.64
Meat Processing,Packaging,24.64
Packaging,Vacuum Sealed,24.64
Root,Food Production,21.28
Food Production,Aquaculture,21.28
