Agriculture and Food Production,Agriculture Production Distribution by Category (2024),%
parent,child,value
Root,Agricultural Inputs,48.78
Agricultural Inputs,Seeds,7.89
Agricultural Inputs,Fertilizers,40.89
Fertilizers,Organic,32.62
Organic,Manure,6.33
Organic,Compost,26.29
Fertilizers,Nitrogen,8.27
Root,Livestock,20.87
Livestock,Cattle,7.62
Livestock,Poultry,13.25
Poultry,Egg Layers,7.13
Poultry,Broilers,6.12
Root,Crop Production,30.35
Crop Production,Oilseeds,30.35
Oilseeds,Canola,30.35
Canola,Hybrid Varieties,25.13
Canola,Open-Pollinated,5.22
