Tourism and Hospitality,Tourism Distribution by Category (2022),%
parent,child,value
Root,Hospitality Services,30.36
Hospitality Services,Dining Experiences,22.17
Dining Experiences,Local Cuisine,9.93
Dining Experiences,Fine Dining,12.24
Hospitality Services,Lodging Options,8.19
Root,Destination Types,44.43
Destination Types,Nature Tourism,12.83
Nature Tourism,Mountain Destinations,5.99
Nature Tourism,Coastal Areas,6.84
Destination Types,Urban Tourism,31.6
Urban Tourism,Shopping Districts,31.6
Shopping Districts,Luxury Malls,18.42
Shopping Districts,Night Markets,8.0
Shopping Districts,Souvenir Streets,5.18
Root,Travel Services,25.21
Travel Services,Transportation,25.21
