Agriculture and Food Production,Agriculture Production Distribution by Category (2024),%
parent,child,value
Root,Crop Production,30.5
Crop Production,Oilseeds,21.71
Oilseeds,Canola,7.47
Oilseeds,Soybean,14.24
Soybean,GMO,8.89
Soybean,Conventional,5.35
Crop Production,Grains,8.79
Root,Livestock,23.22
Livestock,Cattle,6.0
Livestock,Poultry,17.22
Poultry,Egg Layers,6.85
Poultry,Broilers,10.37
Broilers,Intensive,5.1
Broilers,Free-Range,5.27
Root,Agricultural Inputs,46.28
Agricultural Inputs,Seeds,46.28
Seeds,Heirloom Seeds,46.28
Heirloom Seeds,Chili Pepper,46.28
