Human Resources and Employee Management ,Employee Distribution by Category (2021),%
parent,child,value
Root,Workplace Wellbeing,30.78
Workplace Wellbeing,Health & Safety,25.66
Health & Safety,Ergonomics,6.93
Health & Safety,Emergency Response,18.73
Emergency Response,First Aid Training,5.17
Emergency Response,Evacuation Drills,5.43
Emergency Response,Fire Safety,8.14
Workplace Wellbeing,Work-Life Balance,5.12
Root,Employee Development,38.84
Employee Development,Training Programs,9.81
Employee Development,Performance Management,29.03
Performance Management,Feedback,11.13
Feedback,Peer Review,5.94
Feedback,Manager Review,5.19
Performance Management,Goal Setting,17.9
Root,Employee Lifecycle,30.38
Employee Lifecycle,Onboarding,30.38
Onboarding,Orientation,30.38
