Cultural Trends and Influences,Cultural Engagement Distribution by Category (2024),%
parent,child,value
Root,Cultural Participation,52.1
Cultural Participation,Heritage Engagement,11.8
Heritage Engagement,Museum Visits,5.05
Heritage Engagement,Site Tours,6.75
Cultural Participation,Art Festivals,40.3
Art Festivals,Local Festivals,5.55
Art Festivals,International Events,34.75
International Events,Global Film Weeks,16.21
International Events,Biennale Showcases,10.37
International Events,Cultural Diplomacy Days,8.18
Root,Creative Expression,22.66
Creative Expression,Visual Arts,13.45
Visual Arts,Painting,13.45
Painting,Ink Art,7.58
Painting,Oil Painting,5.87
Creative Expression,Performing Arts,9.21
Root,Digital Culture,25.24
Digital Culture,Streaming Culture,25.24
