Cultural Trends and Influences,Cultural Engagement Distribution by Category (2024),%
parent,child,value
Root,Digital Culture,32.78
Digital Culture,Online Exhibitions,8.18
Digital Culture,Streaming Culture,24.6
Streaming Culture,Live Performances,5.96
Streaming Culture,Cultural Podcasts,18.64
Cultural Podcasts,Storytelling Shows,5.58
Cultural Podcasts,Art Talks,5.68
Cultural Podcasts,Creative Interviews,7.38
Root,Creative Expression,23.99
Creative Expression,Visual Arts,12.78
Visual Arts,Painting,5.24
Visual Arts,Sculpture,7.54
Creative Expression,Performing Arts,11.21
Performing Arts,Dance,11.21
Dance,Contemporary,5.45
Dance,Ballet,5.76
Root,Cultural Participation,43.23
Cultural Participation,Heritage Engagement,43.23
