Cultural Trends and Influences,Cultural Engagement Distribution by Category (2024),%
parent,child,value
Root,Digital Culture,38.35
Digital Culture,Online Exhibitions,24.99
Online Exhibitions,NFT Artworks,16.53
NFT Artworks,CryptoArt,5.89
NFT Artworks,AR Installations,5.41
NFT Artworks,Token Galleries,5.23
Online Exhibitions,Virtual Museums,8.46
Digital Culture,Streaming Culture,13.36
Streaming Culture,Live Performances,7.83
Streaming Culture,Cultural Podcasts,5.53
Root,Cultural Participation,32.78
Cultural Participation,Art Festivals,27.39
Art Festivals,Local Festivals,27.39
Local Festivals,Open-air Exhibitions,22.21
Local Festivals,Street Performances,5.18
Cultural Participation,Heritage Engagement,5.39
Root,Creative Expression,28.87
Creative Expression,Visual Arts,28.87
