Energy and Utilities,Energy Distribution by Category (2020),%
parent,child,value
Root,Energy Infrastructure,20.84
Energy Infrastructure,Generation,7.72
Energy Infrastructure,Transmission,13.12
Transmission,High Voltage Lines,7.37
Transmission,Smart Grids,5.75
Root,Energy Sources,50.29
Energy Sources,Fossil Fuels,10.25
Fossil Fuels,Oil,5.04
Fossil Fuels,Coal,5.21
Energy Sources,Renewables,40.04
Renewables,Solar,40.04
Solar,Solar Thermal,5.69
Solar,Floating Solar,27.96
Solar,Photovoltaic,6.39
Root,Energy Consumption,28.87
Energy Consumption,Residential,28.87
