Energy and Utilities,Energy Distribution by Category (2020),%
parent,child,value
Root,Energy Sources,28.46
Energy Sources,Fossil Fuels,18.33
Fossil Fuels,Oil,13.07
Oil,Offshore Platforms,5.32
Oil,Onshore Drilling,7.75
Fossil Fuels,Coal,5.26
Energy Sources,Renewables,10.13
Renewables,Solar,5.12
Renewables,Wind,5.01
Root,Energy Consumption,21.14
Energy Consumption,Residential,14.86
Residential,Appliances,14.86
Appliances,Refrigerators,8.18
Appliances,Washing Machines,6.68
Energy Consumption,Industrial,6.28
Root,Energy Infrastructure,50.4
Energy Infrastructure,Generation,50.4
