Cultural Trends and Influences,Cultural Engagement Distribution by Category (2024),%
parent,child,value
Root,Cultural Participation,25.75
Cultural Participation,Art Festivals,12.5
Art Festivals,International Events,7.08
Art Festivals,Local Festivals,5.42
Cultural Participation,Heritage Engagement,13.25
Heritage Engagement,Museum Visits,5.96
Heritage Engagement,Site Tours,7.29
Root,Digital Culture,54.15
Digital Culture,Streaming Culture,17.91
Streaming Culture,Cultural Podcasts,17.91
Cultural Podcasts,Storytelling Shows,5.46
Cultural Podcasts,Art Talks,5.35
Cultural Podcasts,Creative Interviews,7.11
Digital Culture,Online Exhibitions,36.24
Root,Creative Expression,20.1
Creative Expression,Visual Arts,20.1
