Social Media and Digital Media and Streaming,Social Media Distribution by Category (2022),%
parent,child,value
Root,Platforms,32.25
Platforms,Social Networks,8.74
Platforms,Messaging Apps,23.51
Messaging Apps,WhatsApp,13.03
WhatsApp,Channels,5.1
WhatsApp,Status,7.93
Messaging Apps,Telegram,10.48
Telegram,Public Channels,5.13
Telegram,Bots,5.35
Root,User Engagement,46.23
User Engagement,Sharing and Virality,16.88
Sharing and Virality,Memes,7.33
Memes,Remixes,7.33
Sharing and Virality,Reposts,9.55
User Engagement,Reactions and Comments,29.35
Reactions and Comments,Likes,29.35
Root,Content Creation,21.52
Content Creation,Video Platforms,21.52
