Sports and Entertainment,Sports Distribution by Category (2024),%
parent,child,value
Root,Fitness and Wellness,39.91
Fitness and Wellness,Outdoor Activities,10.81
Outdoor Activities,Cycling Groups,5.11
Outdoor Activities,Running Clubs,5.7
Fitness and Wellness,Personal Training,29.1
Personal Training,Yoga and Meditation,6.49
Personal Training,Gym Workouts,22.61
Gym Workouts,Strength Training,6.5
Gym Workouts,Flexibility Training,5.4
Gym Workouts,Cardio Sessions,10.72
Root,Competitive Sports,22.14
Competitive Sports,Individual Sports,15.56
Individual Sports,Tennis,15.56
Tennis,ATP Tour,7.18
Tennis,WTA Tour,8.38
Competitive Sports,Team Sports,6.58
Root,Sports Media and Tech,37.95
Sports Media and Tech,Live Broadcasting,37.95
