Sports and Entertainment,Sports Distribution by Category (2024),%
parent,child,value
Root,Sports Media and Tech,24.08
Sports Media and Tech,Sports Technology,7.59
Sports Media and Tech,Live Broadcasting,16.49
Live Broadcasting,Television Coverage,7.5
Live Broadcasting,Online Streaming,8.99
Root,Competitive Sports,28.81
Competitive Sports,Individual Sports,5.09
Competitive Sports,Team Sports,23.72
Team Sports,Volleyball,5.69
Team Sports,Football,11.55
Team Sports,Basketball,6.48
Root,Fitness and Wellness,47.12
Fitness and Wellness,Outdoor Activities,47.12
