Real Estate and Housing Market,Housing Market Distribution by Category (2023),%
parent,child,value
Root,Commercial Real Estate,42.68
Commercial Real Estate,Retail Spaces,37.12
Retail Spaces,Shopping Centers,10.48
Retail Spaces,Street-Level Shops,26.64
Street-Level Shops,Luxury Boutiques,8.55
Street-Level Shops,High Foot Traffic,10.6
Street-Level Shops,Historic Districts,7.49
Commercial Real Estate,Office Buildings,5.56
Root,Residential Property,34.18
Residential Property,Single Family Homes,28.63
Single Family Homes,Semi-Detached,11.98
Semi-Detached,Corner Units,5.08
Semi-Detached,Shared Wall Homes,6.9
Single Family Homes,Detached,16.65
Residential Property,Multi-Family Homes,5.55
Multi-Family Homes,Duplex,5.55
Root,Rental Market,23.15
Rental Market,Long-Term Rentals,23.15
