Science and Engineering,Research and Development Ecosystem,Projects,random,Institution Types,Research Outcomes,Impact Areas
Source,Target,Value
Government Agencies,Published Papers,35
Government Agencies,Commercial Products,15
Research Universities,Published Papers,133
Research Universities,Commercial Products,71
Published Papers,Industrial Automation,13
Published Papers,Defense,117
Published Papers,Environment,38
Commercial Products,Industrial Automation,12
Commercial Products,Defense,12
Commercial Products,Environment,62
