Cultural Trends and Influences,Cultural Products Influence Flow,Cultural Products,random,Audience Types,Cultural Mediums,Cultural Origins,Art Forms
Source,Target,Value
General Public,Festivals,21
General Public,Museums,88
General Public,Workshops,126
General Public,Digital Platforms,60
General Public,Theaters,67
Tourists,Festivals,548
Tourists,Museums,383
Tourists,Workshops,133
Tourists,Digital Platforms,313
Tourists,Theaters,200
Scholars,Festivals,66
Scholars,Museums,104
Scholars,Workshops,42
Scholars,Digital Platforms,220
Scholars,Theaters,272
Local Communities,Festivals,229
Local Communities,Museums,336
Local Communities,Workshops,86
Local Communities,Digital Platforms,238
Local Communities,Theaters,82
Festivals,Africa,152
Festivals,Oceania,177
Festivals,Americas,535
Museums,Africa,344
Museums,Oceania,416
Museums,Americas,151
Workshops,Africa,41
Workshops,Oceania,121
Workshops,Americas,225
Digital Platforms,Africa,262
Digital Platforms,Oceania,306
Digital Platforms,Americas,263
Theaters,Africa,234
Theaters,Oceania,161
Theaters,Americas,226
Africa,Literature,92
Africa,Cinema,103
Africa,Sculpture,264
Africa,Music,244
Africa,Dance,213
Africa,Painting,117
Oceania,Literature,247
Oceania,Cinema,105
Oceania,Sculpture,274
Oceania,Music,198
Oceania,Dance,92
Oceania,Painting,265
Americas,Literature,150
Americas,Cinema,215
Americas,Sculpture,79
Americas,Music,171
Americas,Dance,475
Americas,Painting,310
