Social Media and Digital Media and Streaming,Digital Media Consumption Ecosystem,Views,random,User Demographics,Monetization Models,Platform Types,Content Formats,Engagement Methods
Source,Target,Value
Adults,Sponsorships,157703
Adults,Merch Sales,449654
Adults,Pay-Per-View,374751
Seniors,Sponsorships,196159
Seniors,Merch Sales,91949
Seniors,Pay-Per-View,289734
Young Adults,Sponsorships,181607
Young Adults,Merch Sales,225113
Young Adults,Pay-Per-View,246804
Teens,Sponsorships,186019
Teens,Merch Sales,186019
Teens,Pay-Per-View,294813
Influencers,Sponsorships,117491
Influencers,Merch Sales,102902
Influencers,Pay-Per-View,92951
Content Creators,Sponsorships,446095
Content Creators,Merch Sales,443538
Content Creators,Pay-Per-View,161763
Sponsorships,Social Networks,516856
Sponsorships,Video Sharing,768218
Merch Sales,Social Networks,453972
Merch Sales,Video Sharing,1045203
Pay-Per-View,Social Networks,807595
Pay-Per-View,Video Sharing,653221
Social Networks,Music Tracks,942256
Social Networks,Reels,836167
Video Sharing,Music Tracks,1023369
Video Sharing,Reels,1443273
Music Tracks,Comments,885007
Music Tracks,Subscriptions,421232
Music Tracks,Live Chats,659386
Reels,Comments,130169
Reels,Subscriptions,1137776
Reels,Live Chats,1011495
