Healthcare and Health,Healthcare Service Ecosystem,Patients,random,Medical Specialties,Healthcare Providers,Patient Demographics,Outcomes
Source,Target,Value
Orthopedics,Hospitals,838
Orthopedics,Clinics,174
Orthopedics,Nursing Homes,1054
Orthopedics,Rehabilitation Centers,377
Orthopedics,Pharmacies,749
Pediatrics,Hospitals,858
Pediatrics,Clinics,1358
Pediatrics,Nursing Homes,135
Pediatrics,Rehabilitation Centers,1343
Pediatrics,Pharmacies,1246
Oncology,Hospitals,580
Oncology,Clinics,97
Oncology,Nursing Homes,347
Oncology,Rehabilitation Centers,513
Oncology,Pharmacies,905
Cardiology,Hospitals,395
Cardiology,Clinics,1703
Cardiology,Nursing Homes,1392
Cardiology,Rehabilitation Centers,1694
Cardiology,Pharmacies,224
Neurology,Hospitals,33
Neurology,Clinics,64
Neurology,Nursing Homes,190
Neurology,Rehabilitation Centers,162
Neurology,Pharmacies,290
Hospitals,Children,910
Hospitals,Chronic Patients,673
Hospitals,Pregnant Women,883
Hospitals,Seniors,238
Clinics,Children,566
Clinics,Chronic Patients,1086
Clinics,Pregnant Women,393
Clinics,Seniors,1351
Nursing Homes,Children,949
Nursing Homes,Chronic Patients,812
Nursing Homes,Pregnant Women,660
Nursing Homes,Seniors,697
Rehabilitation Centers,Children,1390
Rehabilitation Centers,Chronic Patients,1213
Rehabilitation Centers,Pregnant Women,700
Rehabilitation Centers,Seniors,786
Pharmacies,Children,1301
Pharmacies,Chronic Patients,147
Pharmacies,Pregnant Women,859
Pharmacies,Seniors,1107
Children,Stable Condition,1668
Children,Worsened Condition,552
Children,Deceased,1090
Children,Full Recovery,1012
Children,Improved Condition,794
Chronic Patients,Stable Condition,1548
Chronic Patients,Worsened Condition,578
Chronic Patients,Deceased,322
Chronic Patients,Full Recovery,270
Chronic Patients,Improved Condition,1213
Pregnant Women,Stable Condition,789
Pregnant Women,Worsened Condition,611
Pregnant Women,Deceased,1223
Pregnant Women,Full Recovery,174
Pregnant Women,Improved Condition,698
Seniors,Stable Condition,724
Seniors,Worsened Condition,676
Seniors,Deceased,233
Seniors,Full Recovery,2168
Seniors,Improved Condition,378
