Social Media and Digital Media and Streaming,Digital Media Consumption Ecosystem,Views,random,Engagement Methods,User Demographics
Source,Target,Value
Live Chats,Adults,75522
Live Chats,Influencers,84643
Live Chats,Teens,68316
Live Chats,Young Adults,86168
Live Chats,Seniors,66835
Shares,Adults,103801
Shares,Influencers,20283
Shares,Teens,71441
Shares,Young Adults,165750
Shares,Seniors,88296
Comments,Adults,272896
Comments,Influencers,243526
Comments,Teens,179409
Comments,Young Adults,117834
Comments,Seniors,109676
Donations,Adults,279528
Donations,Influencers,311782
Donations,Teens,185335
Donations,Young Adults,64375
Donations,Seniors,303043
Likes,Adults,42838
Likes,Influencers,51485
Likes,Teens,86694
Likes,Young Adults,83541
Likes,Seniors,85727
Subscriptions,Adults,39864
Subscriptions,Influencers,32254
Subscriptions,Teens,19293
Subscriptions,Young Adults,32944
Subscriptions,Seniors,24359
