Food and Beverage Industry,Food Production and Consumption Chain,Products,random,Waste Management,Food Sources,Consumption Venues,Distribution Channels
Source,Target,Value
Composting,Farms,18717
Composting,Greenhouses,74584
Landfills,Farms,36456
Landfills,Greenhouses,10472
Farms,Schools,12460
Farms,Homes,16407
Farms,Workplaces,19492
Farms,Restaurants,6814
Greenhouses,Schools,14710
Greenhouses,Homes,4143
Greenhouses,Workplaces,36691
Greenhouses,Restaurants,29512
Schools,Retailers,1413
Schools,Exporters,5393
Schools,Wholesalers,11819
Schools,Farmers' Markets,8545
Homes,Retailers,7880
Homes,Exporters,1129
Homes,Wholesalers,9184
Homes,Farmers' Markets,2357
Workplaces,Retailers,12571
Workplaces,Exporters,17058
Workplaces,Wholesalers,17454
Workplaces,Farmers' Markets,9100
Restaurants,Retailers,6047
Restaurants,Exporters,13465
Restaurants,Wholesalers,1731
Restaurants,Farmers' Markets,15083
