Retail and E-commerce,Omni-channel Retail Purchase Ecosystem,Purchases,random,Regions,Marketing Campaigns,Customer Segments,Channels
Source,Target,Value
North America,Social Media Ad,730
North America,Flash Sale,2764
North America,Influencer Campaign,2991
North America,Referral Program,3882
North America,Holiday Promo,2769
North America,Email Newsletter,755
Africa,Social Media Ad,405
Africa,Flash Sale,862
Africa,Influencer Campaign,1365
Africa,Referral Program,2891
Africa,Holiday Promo,1898
Africa,Email Newsletter,863
South America,Social Media Ad,3840
South America,Flash Sale,1239
South America,Influencer Campaign,5675
South America,Referral Program,3279
South America,Holiday Promo,4933
South America,Email Newsletter,1943
Middle East,Social Media Ad,473
Middle East,Flash Sale,505
Middle East,Influencer Campaign,416
Middle East,Referral Program,304
Middle East,Holiday Promo,191
Middle East,Email Newsletter,300
Asia,Social Media Ad,5550
Asia,Flash Sale,1155
Asia,Influencer Campaign,7677
Asia,Referral Program,871
Asia,Holiday Promo,3216
Asia,Email Newsletter,2265
Social Media Ad,Seniors,901
Social Media Ad,Teens,2414
Social Media Ad,Professionals,3225
Social Media Ad,Students,1544
Social Media Ad,Adults,2914
Flash Sale,Seniors,491
Flash Sale,Teens,1322
Flash Sale,Professionals,483
Flash Sale,Students,1834
Flash Sale,Adults,2395
Influencer Campaign,Seniors,2804
Influencer Campaign,Teens,1655
Influencer Campaign,Professionals,4724
Influencer Campaign,Students,3736
Influencer Campaign,Adults,5205
Referral Program,Seniors,598
Referral Program,Teens,487
Referral Program,Professionals,1383
Referral Program,Students,4866
Referral Program,Adults,3893
Holiday Promo,Seniors,1040
Holiday Promo,Teens,2812
Holiday Promo,Professionals,2599
Holiday Promo,Students,3959
Holiday Promo,Adults,2597
Email Newsletter,Seniors,828
Email Newsletter,Teens,1342
Email Newsletter,Professionals,1610
Email Newsletter,Students,288
Email Newsletter,Adults,2058
Seniors,Third-Party Marketplace,2324
Seniors,Physical Store,1438
Seniors,Online Store,2900
Teens,Third-Party Marketplace,4828
Teens,Physical Store,1957
Teens,Online Store,3247
Professionals,Third-Party Marketplace,4148
Professionals,Physical Store,2870
Professionals,Online Store,7006
Students,Third-Party Marketplace,8176
Students,Physical Store,2911
Students,Online Store,5140
Adults,Third-Party Marketplace,3444
Adults,Physical Store,9710
Adults,Online Store,5908
