Transportation and Logistics,Manufacturing Supply Transportation Chain,Goods,random,Assembly,Distribution Center
Source,Target,Value
Test Facility,North Hub,114
Test Facility,Express Sorting Center,33
Test Facility,South Hub,65
Test Facility,West Hub,55
Test Facility,East Hub,76
Quality Check,North Hub,99
Quality Check,Express Sorting Center,42
Quality Check,South Hub,63
Quality Check,West Hub,42
Quality Check,East Hub,111
Component Assembly,North Hub,128
Component Assembly,Express Sorting Center,147
Component Assembly,South Hub,37
Component Assembly,West Hub,166
Component Assembly,East Hub,112
Labeling,North Hub,80
Labeling,Express Sorting Center,61
Labeling,South Hub,78
Labeling,West Hub,90
Labeling,East Hub,62
Packaging Line,North Hub,39
Packaging Line,Express Sorting Center,120
Packaging Line,South Hub,147
Packaging Line,West Hub,15
Packaging Line,East Hub,97
